pagename,Type/Organization,NameTag of Page,NameTag in Content,HashTag in Content,Number of Likes,Number of Followers,Posted Date,Content of Post,Label,Tokens,Word Count,Unique Words
Women Safety Wing Telangana State Police, Government organisation, tswomensafety ,, wearewithyou  TSWOMENsafety,1851.0,1918.0,27-6-2020,womensafety wing go online support investigator victim nri domestic violence issue wearewithyou tswomensafety,women online safety,"['womensafety', 'wing', 'go', 'online', 'support', 'investigator', 'victim', 'nri', 'domestic', 'violence', 'issue', 'wearewithyou', 'tswomensafety']",13,13
APWG (Anti-Phishing Working Group), Non-profit organisation, antiphishing ,,,32974.0,33275.0,16-6-2020,allure security log apwg ecrime exchange r new counter cybercrime artificial intelligence,voyeurism and fake avatar,"['allure', 'security', 'log', 'apwg', 'ecrime', 'exchange', 'r', 'new', 'counter', 'cybercrime', 'artificial', 'intelligence']",12,12
CYBER BLOKE, Community, SLCyberBloke ,,,1588.0,1601.0,19-11-2019,cyber bloke youtube channel subscribe subscribe,cyber defamation,"['cyber', 'bloke', 'youtube', 'channel', 'subscribe', 'subscribe']",6,5
Cyber Crime Police, Community, CCPUSA ,,,293.0,302.0,29-10-2011,cyber crime police,cyber crime police,"['cyber', 'crime', 'police']",3,3
Social  Media and Cyber Crime against Women,Personal Website,,,,272.0,274.0,27-5-2020,think twice post vacation picture detail date n place may cause online cyber stalk,online abuse,"['think', 'twice', 'post', 'vacation', 'picture', 'detail', 'date', 'n', 'place', 'may', 'cause', 'online', 'cyber', 'stalk']",14,14
"Solidarity Against Cyber Bullying, Cyber Harassment, and Cyber Stalking", Community, solidarityagainstcyberbullies ,,,367.0,379.0,16-5-2020,cyberbullying increase amid coronavirus pandemic parent,cyber stalking,"['cyberbullying', 'increase', 'amid', 'coronavirus', 'pandemic', 'parent']",6,6
Stop Cyber Stalking and Cyber Bullying,Community,,,,219.0,227.0,17-1-2020,january national stalk awareness month,cyber stalking,"['january', 'national', 'stalk', 'awareness', 'month']",5,5
Women safety, Community, womensafetyinfo ,,,854.0,864.0,23-4-2019,support everyone must watch,women online safety,"['support', 'everyone', 'must', 'watch']",4,4
Women Safety, Community, CitySafe ,,,1184.0,,5-9-2013,safety html,women online safety,"['safety', 'html']",2,2
Cyber Gyan -India, Community, CyberGyanCG ,,,523.0,520.0,28-4-2020,chhattisgarh infosec society,cyber pornography,"['chhattisgarh', 'infosec', 'society']",3,3
Cyber Laws, Lawyer and law firm, CyberLaws ,,,2678.0,2682.0,14-8-2015,save internet,cyber attack,"['save', 'internet']",2,2
Cyber Safety Awareness, Internet marketing service, CyberSafetyAwareness in ,,,3461.0,3516.0,,gallery technology tech diary work home beware cybercrime src gallery recommend,cyber safety,"['gallery', 'technology', 'tech', 'diary', 'work', 'home', 'beware', 'cybercrime', 'src', 'gallery', 'recommend']",11,10
Cyber awareness,Event,,,,1338.0,1337.0,26-6-2020,aware,cyber awareness,['aware'],1,1
Cyberstalking, Community group, cyberstalking19 ,,,270.0,273.0,10-1-2020,know detail cyberstalking level visit blog,cyber stalking,"['know', 'detail', 'cyberstalking', 'level', 'visit', 'blog']",6,6
Cyber Security, Internet company, cyagency ,,,57478.0,,6-4-2020,hurry message page take u week select upload every essential video require learn basic advance level,cyber security,"['hurry', 'message', 'page', 'take', 'u', 'week', 'select', 'upload', 'every', 'essential', 'video', 'require', 'learn', 'basic', 'advance', 'level']",16,16
